Episódio;Título;Descrição
S05E41;Traduzindo marketing — Filipe Alverca;Com tantas áreas na tradução, a localização de marketing é mais uma possibilidade de atuação. Além do traquejo linguístico para produzir traduções que soem como se tivessem sido escritas originalmente na língua de destino, quem traduz marketing precisa estar por dentro de conceitos que, além de facilitar o trabalho, ajudarão as marcas a alcançarem seus objetivos. Neste encontro, Filipe abordará conceitos básicos relacionados ao Marketing, tendências na tradução e dicas para afiar a criatividade.
S05E42;Da tendência à palavra: uma introdução à tradução de moda — Júlia Jacóbi;Uma área muito comum e presente no cotidiano, a moda é muitas vezes considerada algo supérfluo e/ou corriqueiro. Mas será que traduzir moda é tão simples assim? O que é, afinal, a tradução de moda? Com que tipo de material esta área técnica da tradução trabalha? Como se especializar nessa área e onde encontrar termos técnicos? Estas são algumas questões que Júlia abordará nesta palestra.
S05E43;Tudo que eu posso dizer sobre tradução audiovisual sem quebrar nenhum sigilo — Daniel Erlich;O mercado de streaming cresceu muito, expandiu e se diversificou, em muitos sentidos. Com isso, os produtos linguísticos e fluxos de trabalho dos tradutores que suportam esse mercado altamente internacional também vêm evoluindo e amadurecendo. Daniel Erlich vai contar sobre as suas experiências como tradutor de AV - sem quebrar nenhum sigilo, é claro, pois já adianta que confidencialidade é o fator mais importante na área.
S05E44;Tradução animal! Uma ou duas coisinhas que você precisa saber antes de se aventurar nos textos de medicina veterinária — Luciana Bonancio;Nesta conversa com Luciana Bonancio vamos dar uma olhada no grande mercado da saúde animal e analisar algumas diferenças entre humanos e animais que podem ajudar na hora de traduzir um texto de medicina veterinária. Vai ser o bicho!
S05E45;Qualidade da tradução na era da revolução tecnológica — Aline Tomasuolo;Logo após a revolução industrial, vimos o nascimento da área de “controle de qualidade”, fundamental para reduzir erros e garantir uma qualidade consistente. O mercado de tradução passa agora por uma revolução similar. Tradução automática avançada, CAT tools cada vez mais sofisticadas, inúmeros softwares de revisão textual. A revolução tecnológica transformou completamente os métodos de tradução. Ferramentas e metodologias de controle de qualidade podem e devem ser adotadas no dia a dia de todos os tradutores. Nessa palestra, vamos conversar um pouco com Aline Tomasuolo sobre como implementar um controle de qualidade eficaz usando todas as ferramentas tecnológicas em favor do tradutor e uma tradução de qualidade.
S05E46;Línguas de trabalho: o que são e como mantê-las afiadas — Christiano Sanches;Como são classificadas as línguas de trabalho na interpretação? Como manter minhas línguas de trabalho atualizadas e prontas para serem usadas em qualquer circunstância? O que devo fazer quando tenho mais de uma língua de trabalho? Estas são algumas das perguntas que serão respondidas nesta palestra de Christiano Sanches.
S05E47;Jurídico e ciência na interpretação de noticiário — Denise Bobadilha e Natalie Graue;As coberturas jornalísticas de grandes eventos estão repletas de convenções e termos jurídicos - mas outros temas também exigem atenção, como a ciência, presente na cobertura da pandemia e dos programas espaciais. As intérpretes Denise Bobadilha e Natalie Graue, sócias da House of Words – uma empresa de interpretação que atende à CNN Brasil –, já interpretaram a cobertura de eleições, guerras, assembleias internacionais e notícias do mundo do entretenimento, da segurança pública e da ciência e contam um pouco sobre essas experiências.
S05E48;Arquivar, organizar e traduzir — Any Marry;A maioria de nós tradutores somos autônomos e trabalhamos sozinhos. Com isso, todo o fluxo de trabalho desde o recebimento e procura de propostas e projetos, o prazo e pagamento, além de ferramentas de apoio como memórias de tradução, textos de referências, livros, dicionários, glossários e arquivos de projetos anteriores, cai nas nossas mãos ou computadores. A maioria de nós tradutores somos autônomos e trabalhamos sozinhos. Com isso, todo o fluxo de trabalho desde o recebimento e procura de propostas e projetos, o prazo e pagamento, além de ferramentas de apoio como memórias de tradução, textos de referências, livros, dicionários, glossários e arquivos de projetos anteriores, cai nas nossas mãos ou computadores. Com essa palestra, Any busca ajudar tradutores a encontrar a melhor maneira (para cada um) de arquivar seus materiais e facilitar o trabalho do dia a dia.
S05E49;O método Starbucks aplicado ao mundo da tradução — Aline Tomasuolo;Aline Tomasuolo volta com sua palestra estreante apresentada no IX Congresso da Abrates! Qual foi a chave do sucesso da Starbucks? A empresa inovou completamente a experiência do consumidor, buscando ir muito além de um produto de qualidade. Nós tradutores também precisamos entregar muito mais que uma tradução de qualidade. A Starbucks criou uma fórmula que combina atendimento personalizado com um produto de alta qualidade. E essa fórmula pode ser usada em qualquer área, inclusive na tradução. Nesta palestra, vamos conversar com Aline sobre como aprimorar a experiência do seu cliente de ponta a ponta. O resultado? Um cliente feliz, que te contrata de forma recorrente e também indica e recomenda seu trabalho.
S05E50;Termos de negócios e finanças que todo tradutor deve conhecer — Isa Mara Lando;Termos de negócios e finanças que todo tradutor deve conhecer
S06E01;Localização + SEO = Sites que agradam o Google — Teresa Sousa;A localização de conteúdos otimizados para os sites de pesquisa (também designada de Tradução para SEO) é uma área em grande expansão no nosso setor. Nesta palestra, vamos descobrir com Teresa Sousa os novos serviços linguísticos relacionados com SEO, que têm muita procura no mercado, e como podemos oferecê-los aos nossos clientes. Veremos também de que forma podemos aplicar os conhecimentos de SEO à nossa estratégia de marketing digital, conseguindo criar (ou melhorar) nossos sites de forma eficaz.
S06E02;"LocJAM - Soluções ""PraVer"" — Luiz Fernardo Alves";Uma análise de duas edições do LocJAM, concurso internacional de localização de games, com um passo a passo dos processos e apresentação de algumas soluções que renderam a vitória nesses dois anos.
S06E03;Esports e jogos digitais competitivos — O que são, por que são importantes e casos de tradução e interpretação — Bhernardo Viana;O mundo dos jogos digitais é muito conhecido por várias pessoas. Muitos já baixaram um jogo no celular ou viram parentes e amigos jogando alguma coisa. Mas mesmo para quem conhece os games, o mundo dos esportes eletrônicos ainda é um mistério. O que são, afinal, os esports? Como as pessoas vivem disso, por que são uma tendência e qual é a situação da tradução no ramo?
S06E04;Inventar o trabalho dos outros? — Carlos Rutz;Teorias à parte, a prática exige de quem traduz um arsenal de soluções ora geniais, ora óbvias, mas que às vezes são meras saídas honrosas. De onde vêm essas soluções? Tem pra vender? Frequentemente, nossa jornada perde a tão preciosa fluidez diante das decisões a serem tomadas. Ossos do ofício. Mas... quanto do que fazemos é inventado por nós? E quando o trabalho do autor vira apenas (se tanto) inspiração para nossa criação no idioma de destino? Carlos nos convida a jogar uma luz nessas questões pra enxergar nosso papel, o de quem (também) inventa o trabalho dos outros.
S06E05;Interpretando Altas Autoridades — Cláudia Chauvet;"O desafio de interpretar altas autoridades, chefes de estado e de governo exige não somente conhecimento linguístico, político, econômico e geográfico, mas bastante ""jogo de cintura"". A experiência técnica e profissional do(a) intérprete conta muito, mas saber fazer a leitura do momento e da atmosfera tem valor igual ou maior para a ocasião da interpretação em si."
S06E06;Minha nenhuma tradução é perfeita. Como aprender com a preparação de texto — Jana Bianchi e Fernanda Castro;Da sábia vovó ao coach picareta, todos concordam em uma coisa: aprender com os erros é fundamental. E dentro da tradução, em que adquirir conhecimento através da prática é comum, a preparação de texto surge como uma ferramenta essencial a quem quer melhorar o próprio texto e expandir horizontes, inclusive técnicos. Nesta palestra, Jana Bianchi e Fernanda Castro — que além de traduzir também preparam textos, inclusive uma da outra — vão compartilhar suas experiências aprendendo com os próprios erros (analisando as próprias traduções preparadas) e com os erros de outras pessoas (trabalhando com preparação).
S06E07;Um passeio pela construção da literatura norte-americana —Tereza Marques de Oliveira Lima;Partindo do conceito de literatura como manifestação artística processada pela linguagem e realizada num contexto cultural, nesse passeio nosso guia será o escritor, um ser social que dá voz a outros seres sociais. Vivendo numa sociedade em transformação, irá analisá-la, expondo suas vísceras e pensamentos, na magia da representação, onde realidade e ficção criam cosmogonias. Assim, veremos as construções identitárias do sujeito americano sendo processadas. Acompanharemos sua evolução até hoje, um habitante de um Estado composto por muitas nações. Não um melting pot, mas um país de fragmentações visíveis e gritantes na sua literatura de muitas faces.
S06E08;O nascimento e o renascimento da literatura traduzida — Ellen Maria;"A tradução literária é considerada um produto cultural de uma época, datada e marcada pelas escolhas lexicais, de sintática e semântica (entre outras) de seu criador. Ao mesmo tempo, a tradução é um trabalho tratado por aquele que traduz como algo para durar, para ter a pretensão de ser atemporal, sem caducar junto com uma geração. Falaremos da vida e da pós-vida da literatura traduzida, seja esta prosa ou poesia; do que tem do “hoje” e o que precisa ser pensado para que a mesma sobreviva “amanhã”; das aproximações e distâncias do texto original, do leitor e do tanto que está entre eles."
S06E12;RSI 3 anos depois do fim do mundo: um balanço;
S06E13;Da tradução à versão: novos desafios para uma tradutora emigrante — Simone Campos;"Simone revela como se iniciou na profissão de tradutora no Brasil e fala sobre sua transição de tradutora técnica a literária. Serão comentadas algumas obras marcantes nessa trajetória, como Os testamentos (Margaret Atwood) e A história secreta de Twin Peaks (Mark Frost). Por fim, ela conta como sua experiência morando nos EUA durante 4 anos alicerçou seu ingresso no mercado da versão português-inglês, revelando também o desafio das adaptações nas versões do quadrinho distópico ""Trato sujo"" (de PJ Kaiowá) e do romance LGBTQI+ Elvis e Madona, de Luís Biajoni."
S06E14;Que tempo bom, que não volta nunca mais — Karina Wuo;Karina mostra nesta palestra como se organizar para conseguir cuidar de tudo o que nossa vida de profissional freelancer exige. Será que a procrastinação pode ser usada a nosso favor? Descubra com Karina Wuo.
S06E15;Mais de 10 maneiras de traduzir provérbios e expressões idiomáticas — Reginaldo Francisco;Provérbios e expressões idiomáticas são itens lexicais complexos, cristalizados na língua e de sentido conotativo. Por essas características, sua tradução sempre apresenta alguma dificuldade e exige uma tomada de decisão pelo tradutor. Ao final, os participantes serão capazes de ver como existe uma variedade de possíveis soluções, decisões e efeitos criativos muito maior do que geralmente se pensa para traduzir esses elementos.
S06E16;A interpretação consecutiva e outras práticas que te tornam um melhor intérprete de simultânea — Luana Carvalho;Essa palestra apresenta um viés pedagógico para conscientizar o intérprete que a prática recorrente de atividades diversificadas é o que aprimora as competências necessárias para exercer a profissão.
S06E17;TQAuditor grátis para tradutores — Jean Trindade;O objetivo desta palestra é mostrar como usar a função gratuita do TQAuditor para comparar arquivos bilíngues de tradução. Com ele, é possível gerar um relatório de alterações para conferir o que mudou em uma tradução após sua revisão. É útil tanto para tradutores quanto para revisores. O TQAuditor é uma ótima ferramenta para revisores fornecerem um feedback mais completo. Veremos os formatos compatíveis, as opções disponíveis do sistema, a exportação dos relatórios em Excel e dicas para entregar um feedback de qualidade.
S06E18;Interpretação de auditorias e acompanhamento — Carmen Reis;Talvez, a cabine pareça um lugar seguro, afinal ficamos quietinhos no nosso “aquário” transmitindo a nossa voz. O que fazer quando precisamos sair dela? Muitas vezes, é preciso viajar, cruzar o país, usar EPIs, visitar ambientes que nunca imaginamos conhecer, enfrentar o ruído das fábricas, superar um clima tenso em que um pequeno deslize pode ser um risco para o bem-estar da empresa e, muitas vezes, até para a nossa integridade física. Conto com a presença de vocês para compartilhar experiências nessa área, em que adoro atuar.
S06E19;Desafios ao traduzir um artigo científico do inglês indiano ao português — Sofia Pulici;Estamos tão acostumados a traduzir textos do inglês americano ou britânico que às vezes nos esquecemos que existem outras variantes do inglês mundo afora, com seus próprios desafios e características. Nesta palestra, farei uma apresentação de diversos desafios (relacionados à gramática, pontuação, entendimento de terminologia etc.) encontrados ao traduzir um artigo científico escrito originalmente em inglês indiano e contendo terminologia da Medicina Ayurveda.
S06E20;A importância do networking para o tradutor — Felipe Tomasi;Embora tenha começado a carreira de tradutor em 2010, demorei para fazer networking. Por muitos anos, tive dificuldades em conhecer outros tradutores e participar de congressos de tradução. No entanto, resolvi enfrentar o desafio e comecei a participar de congressos e webinars. Nessa palestra, quero mostrar como o networking pode alavancar a carreira do tradutor e os frutos decorrentes da participação em eventos e do contato com colegas.
S06E21;Como é o credenciamento para intérpretes na UE: requisitos e a prova — Alexandra de Vries;Nesta palestra, Alexandra fala sobre sua experiência de fazer um mestrado em Interpretação de Conferências na Glendon College já com 14 anos de experiência como intérprete e com 47 anos. Um dos motivos para fazer o mestrado foi para se candidatar para a prova de credenciamento da União Europeia. Alexandra também explica que a prova, que ela fez em 2019, envolve a interpretação simultânea e consecutiva de discursos em diferentes combinações de idiomas, abrangendo uma ampla gama de tópicos, desde política e economia até direito e meio ambiente.
S06E22;Tradutor: um eterno aprendiz — Cláudia Fleith;Nesta palestra, Cláudia Fleith aborda vários aspectos da necessidade de aprendizado constante que fazem do tradutor um eterno aprendiz. Desde o estudo dos idiomas, até a atualização frequente das diversas ferramentas que você precisa para atuar como tradutor, seja como pessoa física ou empresa.
S06E23;Tradução pública: como era e como ficou após a nova legislação — Jorge Rodrigues;O ofício de Tradutor Público e Intérprete Comercial, agora Tradutor e Intérprete Público, mas mais conhecido como tradutor juramentado está passando por mudanças importantes desde a promulgação da nova lei e instruções normativas que passaram a reger o ofício. Vamos conversar sobre como era antes e como será daqui para frente – pontos positivos, negativos e indefinições.
S06E24;Tradução criativa na localização de jogos — Ivan L. Lopes;Muito se fala sobre a diferença entre tradução e localização, mas é difícil visualizar as diferenças e semelhanças sem exemplos práticos. Nessa palestra, pretendo explicar brevemente o que é localização e oferecer um panorama do tipo de material que um tradutor de jogos recebe no dia a dia. A seguir, irei apresentar casos de sucesso, tirados de jogos de diversos gêneros, compará-los com o texto original e pensar sobre as escolhas feitas por cada tradutor. Os exemplos também contemplarão diferentes tipos de texto que podemos encontrar nessa mídia, variando desde diálogos, mensagens de sistema, nomes próprios e até músicas.
S06E25;Montando passo a passo uma macro no Word — Victor Almeida;Neste curso básico de macros para Word, você aprenderá a automatizar tarefas repetitivas e agilizar seu trabalho na hora de revisar. Através de uma abordagem prática, vamos criar e executar macros personalizadas. Descubra como gravar ações para tornar suas tarefas diárias mais eficientes.
S06E26;Como a dramaturgia influencia a tradução audiovisual — Jacqueline Plaça;A oferta cada vez mais instigante de filmes, séries e documentários, impulsionada pelas plataformas de streaming, tenta atingir cada vez mais públicos diferentes, em diversos países e idiomas. As equipes de roteiro e direção se esmeram em deixar seus diálogos, personagens e montagem mais cativantes que nunca. No momento da distribuição desses filmes, as equipes de tradução audiovisual têm pouco tempo e informação sobre o material. Nessa palestra, vamos entender a influência da dramaturgia na TAV.
S06E27;Exorcize o seu texto: acabe com os possuídos! — Cláudia Mello Belhassof;Para traduzir bem, é importante conhecer a língua-fonte (a do original), mas é mais importante ainda conhecer a língua-alvo (a da tradução). A língua portuguesa é traiçoeira e cheia de sutilezas que podem levar a erros. Esta palestra pretende facilitar a escolha de termos mais naturais, além de ajudar na redação de textos mais fluidos, que não pareçam ter sido copiados palavra por palavra do idioma original. Os exemplos são reais, acumulados ao longo dos anos de tradução e revisão de livros.
S06E28;Rebranding: como se reinventar – sem reinventar a roda — Ana Carolina Ribeiro;Trocar de nome comercial/e-mail/telefone? A essa altura do campeonato? Como eu vou explicar isso para os clientes? Quando já estamos relativamente estáveis em nossa posição profissional, qualquer mudança precisa ser avaliada cuidadosamente. Mas, para progredir, não podemos ficar sempre no mesmo lugar. Uma mudança de nome, de estado civil e de continente depois, Ana Carolina Ribeiro conversa sobre o processo de renovação de sua marca profissional, apresentando as vantagens e desvantagens, contando os perrengues (e as voltas que deu para resolvê-los) e dando dicas para quem estiver pensando em seguir a mesma trilha.
S06E29;Exemplos práticos de multiculturalismo na tradução de inglês e português — Stephan Hughes;O multiculturalismo é uma ponte entre culturas e a tradução é uma ferramenta importante para a troca de conhecimentos e experiências. A tradução é vista por Spivak (2005) como um relacionamento ético com o texto do outro. A presente palestra visa explorar as nuances e os desafios do multiculturalismo entre o inglês e o português, assim como demonstrar a importância da competência intercultural e estratégias sociopolíticas para se ter uma tradução multicultural mais precisa e eficiente.
S06E30;Comunicação Acessível: Estratégias para integrar a acessibilidade a teatro, redes sociais, palestras e outras formas de diálogo — Fernanda Brahemcha;Como estratégias de verbalização e de reorganização das informações podem nos ajudar a compor uma comunicação mais acessível, que comunique também às pessoas com deficiência visual? Nessa palestra vamos refletir um pouco sobre como estruturamos a nossa comunicação em múltiplas vias, e como somar essas vias para emitir mensagens de forma mais acessível, passando pela audiodescrição como recurso, mas dando foco às ferramentas textuais que podem ser aprendidas a partir dela e além dela, e que podem ser aplicadas por todas as pessoas em contextos variados.
S06E31;I've Known Rivers - A tradução e o mercado editorial sob a perspectiva negra — Karine Ribeiro;Nesta palestra, Karine reflete sobre sua trajetória na tradução e nos bastidores do mercado editorial enquanto mulher negra e periférica, com enfoque na experiência de traduzir e editar os mais diversos gêneros, de biografias de importantes figuras da história negra ao romance contemporâneo jovem escrito por e feito para pessoas negras.
S06E32;Para (não) audaciosos: por uma Poética do Traduzir — Amanda Moura;“Um convite ao tradutor, o de inscrever-se no texto traduzido”, assim a tradutora Jerusa Ferreira descreve Poética de Traduzir (1999), de Henri Meschonnic, obra publicada no Brasil em 2009. Levando em conta o discurso crítico e combativo desse teórico da linguagem, da literatura e da tradução, neste encontro abordaremos os temas centrais defendidos por Meschonnic e por que o seu convite a favor da audácia e contra o apagamento é também um chamado para compreender as fronteiras entre a língua e o discurso, sendo esse último “[...] o próprio lugar em que se constrói a escrita” (2009, p. 146).
S06E33;Qualificações e possibilidades para o profissional pós-editor — Andréia Souza e Larissa Albaladejo;A atuação do linguista tem se expandido de maneira dinâmica e essa mudança tende a acelerar ainda mais. O profissional deve se manter atualizado com as demandas do mercado e explorar as possibilidades na profissão, como é o caso da pós-edição da tradução automática. Apresentaremos as linhas gerais do serviço: como se preparar e adquirir experiência, quais são as boas práticas de mercado, habilidades técnicas e comportamentais, o ponto de vista da norma reguladora e como se qualificar e ter as competências necessárias para ser pós-editor.
S06E34;Por que preciso pensar sobre racismo se não sou racista? — Patricia Souza;Como profissional da tradução ou da interpretação, suas palavras alcançam muita gente. Mesmo comunicando ideias de outras pessoas, a linguagem é sua, e você é responsável por suas escolhas terminológicas e discursivas. Além disso, você faz parte de uma sociedade na qual o racismo existe há séculos. Embora seu enfrentamento ainda esteja muito atrasado, as questões étnico-raciais vêm ganhando cada vez mais espaço no debate público. Do ponto de vista profissional, social e pessoal, por que é tão importante você pensar (e falar) sobre racismo? Vamos conversar sobre isso e tentar fazer algumas reflexões dentro dessas três esferas.
S06E35;Language Lead? Que bicho é esse? — Mariana Ciocca Alves Passos;A função de Language Lead (especialista em um idioma) existe tanto do lado de quem oferece serviços de tradução quanto de quem compra esses serviços. No entanto, as responsabilidades e expectativas podem ser bem diferentes dependendo de qual lado estamos. Mariana oferece um panorama do que é esperado pelo cliente final e reflete sobre como a experiência em tradução, revisão e teste linguístico a ajudou quando teve a oportunidade de trabalhar nessa função.
S06E36;Desafios da tradução — Renata Machado;"A carreira de tradução é desafiadora por diversas razões. Primeiramente, cada idioma tem suas próprias nuances, regras gramaticais, expressões idiomáticas e vocabulário único. Além disso, como tradutores devemos ser sensíveis às diferenças culturais entre os idiomas, levando em conta contextos sociais, históricos e culturais para garantir que a mensagem seja apropriada e compreensível para o público-alvo. Importante lembrar que podemos ser chamados para trabalhar com uma ampla variedade de tópicos e campos, desde traduções técnicas e científicas até traduções literárias e de marketing. Cada um desses campos apresenta seus próprios desafios e terminologia específica.
Muitas vezes enfrentamos prazos apertados, especialmente em situações de tradução de última hora. Isso pode aumentar a pressão e o estresse. Embora as ferramentas de tradução assistida por computador (CAT) e a inteligência artificial possam nos ajudar, elas não substituem a criatividade e o julgamento humano necessários e extremamente essenciais para produzir uma boa tradução. Precisamos nos manter atualizados com as mudanças na língua e no uso de termos e expressões e saber lidar com a pressão para garantir a qualidade, já que uma tradução de má qualidade pode ter sérias consequências, desde mal-entendidos em comunicações até perdas financeiras desastrosas em negócios internacionais... o que gera para nós uma pressão ainda maior para produzir um trabalho de alta qualidade.
A globalização ainda trouxe uma competição global para a indústria de tradução, o que significa que nós tradutores muitas vezes precisamos ser e nos manter altamente qualificados e competitivos para encontrar oportunidades de trabalho, além de cuidar dos aspectos financeiros e de marketing para a nossa carreira como tradutores.
Sabemos, portanto, que a carreira de tradução é desafiadora devido à complexidade linguística, sensibilidade cultural, variedade de conteúdo, pressão por prazos, evolução da língua, pressão por qualidade e competição global, entre outros fatores. No entanto, para aqueles que têm paixão por idiomas e comunicação, pode ser certamente uma carreira incrível, muito gratificante e extremamente enriquecedora!"
S06E37;Interpretação de texto e tradução — Natalie Gerhardt;Nessa palestra, Natalie abordará questões que vão além dos aspectos linguísticos da tradução, tais como a capacidade de interpretação de texto de acordo com o contexto, a sensibilidade de uma leitura mais profunda que leva em conta questões de intenção do autor e identificação de aspectos culturais que trazem mais uma camada para o texto.
S06E38;"""A arte da alta produtividade"" Insights para empresários, profissionais liberais e autônomos — André Ribeiro";André Ribeiro compartilha suas estratégias comprovadas para se destacar em um mundo que é cheio de distrações. Com exemplos validados por anos de experiência como profissional independente, esta palestra oferece insights práticos para impulsionar o desempenho no trabalho e na vida cotidiana. Descubra como maximizar resultados financeiros enquanto desfruta de uma qualidade de vida excepcional. Uma apresentação dinâmica e motivadora que expandirá sua mente para enfrentar com eficácia os desafios profissionais e pessoais do dia a dia.
S06E39;Intérpretes pós-pandêmicos: aprendizados além da interpretação — Felipe Pazello;A interpretação muitas vezes foi exclusivamente associada a ambientes de conferências acadêmicas, simpósios e encontros de membros do governo. No entanto, particularmente no período pós-pandêmico, a interpretação de reuniões corporativas em caráter online ou híbrido ganhou grande força. A facilidade de se ter licenças de softwares capazes de fornecer canais de áudio separados para a interpretação e a possibilidade de se fazer negociações complexas possibilitou a entrada de muitos novos intérpretes no mercado. Além disso, muitos intérpretes tornaram-se “gerentes de projetos” independentes, não se limitando ao contato com agências e assim estabelecendo um contato direto com os clientes.
S06E40;A importância da inteligência emocional na rotina do profissional autônomo — Shirlei Fernandes Correa;"Partindo dos desafios, inseguranças, medos e dores que grande parte dos profissionais autônomos precisam lidar no cotidiano da profissão, é muito pertinente trazer conceitos da Inteligência emocional. A inteligência emocional sendo desenvolvida diariamente, pode trazer benefícios imensuráveis na forma que o indivíduo vai lidar com os problemas, estresse e decisões do dia a dia, trazendo a possibilidade de reações mais assertivas, interna e externamente.
O intuito dessa palestra é mostrar aos ouvintes que apesar de todos os pontos de conflito é necessário olhar para si e aprender a identificar sensações e sentimentos que podem estar travando a busca pelo sucesso."
S06E41;Driblando a sociedade do cansaço — Francine Oliveira;Você já se sentiu à beira de um burnout? Ou melhor: quantas vezes você já se sentiu à beira de um burnout? Decidi reformular minha pergunta porque me dei conta de que o esgotamento parece ter se tornado algo recorrente em conversas com muitos colegas. O filósofo Byung-Chul Han aponta que vivemos na “Sociedade do Cansaço”, em doenças e transtornos da mente são componentes da “paisagem patológica do começo do século XXI”. Ainda assim, descrever-se como workaholic continua a ser uma qualidade e coaches ainda repetem frases de impacto que nos incitam a “trabalhar enquanto eles dormem”. Então, quando descansamos?
S06E42;O papel dos revisores na produção de livros didáticos — Marianna La Vega;Nessa palestra, vamos dar uma olhada nos bastidores da revisão de livros didáticos no Brasil. Vamos falar sobre como esses livros são produzidos, destacando a importância da Base Nacional Comum Curricular (BNCC). Vamos mergulhar nas etapas da revisão, garantindo que o conteúdo seja preciso e apropriado para os estudantes. Também discutiremos como os materiais didáticos têm regras específicas para cada nível de ensino. Por último, vamos abordar a necessidade de representação inclusiva e como entrar nesse campo.
S06E43;Traduzindo um relatório do século XVIII sobre vampiros — Andressa Furlan Ferreira;Andressa Furlan Ferreira compartilhará sua experiência de pesquisa, transcrição e tradução de um documento singular: um relatório médico-militar em alemão sobre casos de vampirismo numa vila da Sérvia, publicado em 1732. Nessa fala, ela comentará sobre alguns desafios dessa tarefa, além de indicar materiais para pessoas interessadas em pesquisa acadêmica, estudos de tradução e de folclore. O relatório que ela abordará teve repercussão em círculos sociais da Europa no século XVIII e causou debates entre pensadores dessa época, fortalecendo discussões populares sobre vampiro na Modernidade.
S06E44;O gênero neutro está presente. E você, está no Presente ou no passado? — Thiago Hilger;Já faz algum tempo que debatemos o uso do gênero neutro na língua portuguesa. A utilização de pronomes, adjetivos e substantivos neutros no dia a dia é crescente, especialmente entre a população mais jovem, que tende a ter menos preconceitos e ser mais aberta à inclusão. Pessoas não-bináries jogam jogos também, assim como você e eu. Para representá-las de forma adequada, eu participei de um projeto de adaptação de um jogo para a linguagem neutra. Nesta palestra, conto em mais detalhes o processo e as técnicas utilizadas para fazer este tão importante trabalho de inclusão.
S06E45;Traduzindo Clássicos — Petê Rissatti;A tradução de clássicos é o que mantém vivos livros que tiveram grande importância para uma época e, por sua longevidade, também para a cultura mundial. Nesta palestra, vamos entender o que é um clássico, conhecer um pouco do processo de tradução de um livro considerado clássico para um público contemporâneo, além do conceito de direito autoral e suas regras. Será um bate-papo para quem se interessa por literatura e tradução, para quem está dando os primeiros passos e para quem já tem uma carreira consolidada, mas quer saber mais desse tipo de tradução.
S06E46;Jon Fosse no Brasil: A tradução de É a Ales — Guilherme da Silva Braga;Em 2023, o autor norueguês Jon Fosse foi premiado com o Nobel de Literatura. Ainda pouco conhecido no Brasil, por ora Fosse tem apenas três obras publicadas no país. Nessa apresentação, o tradutor de É a Ales (Companhia das Letras, 2023) traça um breve perfil do autor norueguês para a seguir deter-se sobre o processo de tradução desse título em particular, com especial atenção à prosa hipnótica de Fosse a outras características literárias e formais presente na obra do autor.
S06E47;Prospecção de Clientes, Networking e Marketing Pessoal para Tradutores Introvertidos — Ivar Panazzolo Junior;"Uma palestra com várias ideias, dicas e estratégias para facilitar o trabalho de prospecção e o estabelecimento de bons contatos para tradutores que, devido à introversão ou timidez, têm dificuldade ou simplesmente não gostam do processo de buscar novos clientes.
Vamos discutir também maneiras de superar a timidez, como abordar clientes em potencial, como fazer uma prospecção inteligente usando as ferramentas disponíveis e como os tradutores mais introvertidos podem usar essa característica pessoal a seu favor para conquistar novas oportunidades."
S06E48;Ensaio sobre a curiosidade: como os verbos errar, aprender e mudar devem ser um mantra — Rafaela Mota Lemos;"Ficamos sempre muito inspirados quando ouvimos histórias de tradutores que estão na profissão há 20, 30 ou 40 anos.
Fomos ensinados desde sempre que estabilidade e consistência eram virtudes fundamentais de um bom profissional.
Quem faz sempre o mesmo recebe um certificado imediato de credível. Quem muda e faz diferente muitas vezes é considerado de sonhador, errático ou sem foco. Será mesmo assim?
Nesta palestra, gostaria de partilhar com a audiência o meu percurso pouco linear enquanto tradutora e as lições que fui aprendendo no processo.
Spoiler alert: não faz mal experimentar outras coisas, criar outras formas de subsistência e seguir outras carreiras."
S06E49;Travessia Tradutória — Alison Entrekin;Nesta palestra, Alison vai refletir sobre as agruras da “transcriação” de Grande Sertão: Veredas para o inglês e o que aprendeu no processo.
S07E01;Les casquettes du monde littéraire : navegando entre a criação e a tradução do texto. — Adriana F. Martins;Na França, quando alguém navega por diferentes domínios, diz-se que ela é “une personne à plusieurs casquettes”, uma pessoa com vários bonés. Os meus bonés (prefiro chapéus) são escritora e tradutora. Não do naipe de Clarice Linspector, mas tradutora de mim mesma, porque tenho um projeto ambicioso, do qual sou ciumenta e sobre o qual preciso ter controle sobre aspectos muito precisos. Isso porque Berenice da Capadócia: a jornada do não-herói, meu “livro de estreia” tem, a meus olhos de mãe zelosa, várias camadas de leitura e tantas outras de intenção.
S07E02;ProZ KudoZ além dos Pontos: Perspectivas e Possibilidades — Matheus R. Chaud;Nesta palestra, você poderá conhecer melhor o ProZ KudoZ para vê-lo não apenas como uma plataforma para acumular pontos no ranking de tradutores do site, mas como um ambiente valioso de aprendizado e colaboração. Vamos abordar as nuances do KudoZ, desde o funcionamento do sistema de perguntas e respostas até as estratégias para uma participação mais eficaz. Analisaremos os prós e contras de diferentes abordagens, como atuar de forma colaborativa x competitiva ou como especialista x generalista. Saiba como utilizar o KudoZ de maneira estratégica para maximizar as parcerias, possibilidades e perspectivas profissionais.
